source_table,ods_table,business_area,data_domain,domain_name,source_kind,disposition,target_layer,target_table,grain,load_strategy,optional_module,confidence,sensitivity,rationale
acc_accounting_rule,ods_fineract_acc_accounting_rule,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,dim_accounting_rule,id,full_snapshot,False,human_reviewed,internal,Accounting rule is stable reference data with explicit office and GL roles.
acc_gl_account,ods_fineract_acc_gl_account,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,dim_gl_account,id,full_snapshot,False,human_reviewed,internal,GL account is a conformed hierarchical dimension.
acc_gl_closure,ods_fineract_acc_gl_closure,FMAN,FINA,总账与财务,master_or_reference,standalone_fact,DWD,dwd_gl_close_event,id,full_replay,False,human_reviewed,internal,Closing event is valid after replacing the invalid generated finance-management code.
acc_gl_financial_activity_account,ods_fineract_acc_gl_financial_activity_account,FMAN,FINA,总账与财务,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
acc_gl_journal_entry,ods_fineract_acc_gl_journal_entry,FMAN,FINA,总账与财务,event_or_relation,standalone_fact,DWD,dwd_gl_journal_entry,id,full_replay,False,human_reviewed,internal,Source is the authoritative journal-line fact with explicit GL and source-transaction roles.
acc_gl_journal_entry_annual_summary,ods_fineract_acc_gl_journal_entry_annual_summary,FMAN,FINA,总账与财务,event_or_relation,snapshot_source,DWD,dwd_gl_annual_balance_snapshot,"gl_code, product_id, office_id, currency_code, owner_external_id, manual_entry, year_end_date",full_replay,False,human_reviewed,internal,Annual snapshot is valid but semantic grain must replace the generated surrogate-id grain.
acc_product_mapping,ods_fineract_acc_product_mapping,FMAN,FINA,总账与财务,master_or_reference,standalone_dimension,DIM,bridge_product_gl_mapping,id,full_snapshot,False,human_reviewed,internal,"Source is accounting configuration, not a transaction fact."
acc_rule_tags,ods_fineract_acc_rule_tags,FMAN,FINA,总账与财务,master_or_reference,rule_reference,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
batch_custom_job_parameters,ods_fineract_batch_custom_job_parameters,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含秘密、认证信息或高风险自由文本，仅保留受限 ODS，禁止进入普通分析层。
c_account_number_format,ods_fineract_c_account_number_format,OTHR,REFR,公共参考与元数据,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_cache,ods_fineract_c_cache,OTHR,OPER,平台运营与安全,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_configuration,ods_fineract_c_configuration,OTHR,REFR,公共参考与元数据,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_external_service,ods_fineract_c_external_service,OTHR,OTHR,其它银行运营,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
c_external_service_properties,ods_fineract_c_external_service_properties,OTHR,OTHR,其它银行运营,technical,security_excluded,NONE,,source row,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
glim_accounts,ods_fineract_glim_accounts,LOAN,LOAN,贷款与信贷,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
gsim_accounts,ods_fineract_gsim_accounts,DPST,DPST,存款与储蓄,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,restricted,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
interop_identifier,ods_fineract_interop_identifier,PAYM,PAYM,支付结算,master_or_reference,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
job,ods_fineract_job,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
job_parameters,ods_fineract_job_parameters,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含秘密、认证信息或高风险自由文本，仅保留受限 ODS，禁止进入普通分析层。
job_run_history,ods_fineract_job_run_history,OTHR,OPER,平台运营与安全,technical,operational_only,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_account_transfer_details,ods_fineract_m_account_transfer_details,PAYM,PAYM,支付结算,event_or_relation,bridge_source,DWD,dwd_account_transfer_instruction,id,full_replay,False,human_reviewed,restricted,"Source is the transfer header and endpoint relationship, not the dated transfer transaction."
m_account_transfer_standing_instructions,ods_fineract_m_account_transfer_standing_instructions,PAYM,PAYM,支付结算,event_or_relation,component_source,NONE,,id,ods_full_snapshot,False,candidate,internal,已完成领域和处置分类；未通过独立粒度评审，保留 ODS 并作为后续维度、事实、快照或运维模型的候选组成来源。
m_account_transfer_standing_instructions_history,ods_fineract_m_account_transfer_standing_instructions_history,PAYM,PAYM,支付结算,event_or_relation,standalone_fact,DWD,dwd_standing_instruction_event,id,full_replay,False,human_reviewed,restricted,"Source records each instruction execution with status, amount and error context."
m_account_transfer_transaction,ods_fineract_m_account_transfer_transaction,PAYM,PAYM,支付结算,event_or_relation,standalone_fact,DWD,dwd_account_transfer_transaction,id,full_replay,False,human_reviewed,restricted,Source has a dated monetary transfer event and links both ledger-side transactions.
m_address,ods_fineract_m_address,CLNT,CUST,客户与参与方,master_or_reference,standalone_dimension,DIM,dim_address,id,full_snapshot,False,human_reviewed,restricted,Address is reusable party reference data but must remain PII protected.
m_adhoc,ods_fineract_m_adhoc,OTHR,OTHR,其它银行运营,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser,ods_fineract_m_appuser,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser_previous_password,ods_fineract_m_appuser_previous_password,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,id,ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
m_appuser_role,ods_fineract_m_appuser_role,OTHR,OPER,平台运营与安全,technical,security_excluded,NONE,,"appuser_id, role_id",ods_full_snapshot,False,security_reviewed,restricted,包含密码、令牌或认证凭据，仅保留受限 ODS，禁止进入普通分析层。
